artefato,classe,status,processo,versao_ou_semente,sha256,resultado,limitacao
results/prognostico/revisao/logs/renderizacao_task15.log,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,5c0f268f02f0427a4775dd495de897cab636a3f250f45947c5eab6c756a2b005,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
results/prognostico/revisao/logs/testes_task15.log,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,95be72a4ed8b523c3df6c72447038b9b26b5004cde3eacef687fdd6537373a4e,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
results/prognostico/revisao/logs/verificacao_html_task15.json,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,f04a5d880ffdc81edd55d31f7b8ded388b1b89edc2ffd46e49cf4669ceb5e88f,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
scripts/audit_scientific_final.R,entrega auditoria científica Task 15,verificado,auditoria local; recomposição numérica; referências; renderização e inspeção,Task 15; R 4.6.1; Quarto 1.6.40; sem nova reamostragem,614663f3242f593318746fbd17ff8d8a6681a2a05b92e87479eb0b854caf03b3,entrega final conciliada; detalhes em 15_execucao.md e 15_parecer_final.md,auditoria local; pendências documentais para submissão; sem validação externa
.plan/tasks-revisao/entregas/relatorio_autonomo_execucao.md,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,78fc2a3e8b6725ac0af44ff0ea9162a1790a66cf9469a1e8d655da5cc2627857,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
results/prognostico/revisao/aggregated/article_coefficients_linear.csv,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,53ee3337dbff1eee613dfdd11db4ec1b278beb9e6e6ed17ad4d7d6f70d094ed1,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
results/prognostico/revisao/aggregated/article_coefficients_logistic.csv,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,12bc94ce4174f4fd35179c811af3b6e38f866c5febe10cfa4a61eefee57d8a60,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
results/prognostico/revisao/aggregated/cart_external_metric_distribution.csv,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,fb584a9512c4bcd88aeffaf1cf1fc63e6a610999d5e3afebfd307d37e203cbc6,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
results/prognostico/revisao/aggregated/frozen_prediction_stability_summary.csv,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,7b42b0ff5847c08d31eb35780e672ecc5e738dbeffbd1f137780bc0925ce5a51,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
results/prognostico/revisao/logs/standalone_chunks.log,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,ba7b416bcec092d53a0b55ff556c0030fa4a4019558726b235d30f487324cf8d,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
results/prognostico/revisao/logs/standalone_inputs_manifest.csv,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,e52e171d62436892269d65cf8def3a70b0fa431314034b4f0cd6a140b9a0b616,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
results/prognostico/revisao/logs/standalone_render.log,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,26f244a24e5f1b491cf206a53a25bb4f03b444b5fe3a3ae3161e996fdc96b43e,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
results/prognostico/revisao/logs/standalone_tables.log,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,ac56aad6e6ce76a66e409851a106a7dc90b63fe79278ffec4bfcc5cb5b1ba602,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
results/prognostico/revisao/logs/standalone_verification.json,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,c2210d54955a1d184b30e98605ba23b9fc6a5685211466ddbc2a602ca66ebb30,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
scripts/prepare_standalone_report.R,extensão editorial: relatório autônomo,verificado,tabelas recompostas; leitura autônoma; renderização e navegador,pós-auditoria; sem nova reamostragem,3a3c8affe9727492f72441416d078795a266e59ed7562d20d71f1355d5c029d2,40 termos conferidos; 67 links internos; 10 figuras explicadas; detalhes em relatorio_autonomo_execucao.md,IC do ajuste sem shrinkage; pendências clínicas/documentais e validação externa preservadas
